employee_id,age,gender,years_at_company,job_role,monthly_income,work_life_balance,job_satisfaction,performance_rating,number_of_promotions,overtime,distance_from_home,education_level,marital_status,number_of_dependents,job_level,company_size,remote_work,leadership_opportunities,innovation_opportunities,company_reputation,employee_recognition,attrition
23287,48,Male,1,Technology,10135,Poor,High,Low,0,Yes,13,Bachelor’s Degree,Single,3,Entry,Small,No,No,No,Good,Medium,0
12556,47,Male,24,Healthcare,8631,Fair,Very High,High,0,No,35,Bachelor’s Degree,Married,3,Senior,Medium,No,No,No,Poor,Low,1
68364,41,Female,11,Education,4431,Poor,Very High,High,0,No,8,Associate Degree,Married,2,Senior,Medium,No,No,No,Excellent,Low,0
31457,53,Female,2,Education,3598,Good,High,Average,0,Yes,98,Associate Degree,Single,1,Entry,Large,No,No,Yes,Fair,Medium,0
14169,37,Female,2,Healthcare,7949,Excellent,Medium,Average,0,No,95,High School,Married,5,Entry,Large,Yes,No,No,Excellent,Low,1
67257,53,Female,23,Healthcare,8876,Fair,Low,Average,2,Yes,68,High School,Married,3,Entry,Medium,No,No,Yes,Good,High,0
31826,49,Male,9,Healthcare,8340,Good,High,High,1,No,73,Bachelor’s Degree,Single,0,Entry,Large,No,No,No,Fair,Low,0
24841,39,Male,9,Finance,8860,Good,Medium,Below Average,0,Yes,26,Bachelor’s Degree,Married,1,Mid,Medium,No,No,No,Fair,Medium,0
7424,58,Male,14,Technology,8683,Poor,High,Average,2,No,34,Bachelor’s Degree,Divorced,0,Senior,Large,Yes,Yes,Yes,Good,Low,1
9870,49,Female,2,Education,4042,Good,High,Below Average,0,No,29,Associate Degree,Divorced,2,Entry,Medium,No,No,No,Good,High,0
6688,54,Male,24,Technology,9737,Poor,Medium,Below Average,0,No,8,Bachelor’s Degree,Married,0,Entry,Medium,Yes,No,No,Fair,Low,1
3625,38,Male,18,Education,5246,Good,High,High,0,Yes,84,Master’s Degree,Divorced,2,Mid,Medium,No,No,No,Good,Low,0
66157,19,Female,1,Finance,10141,Good,High,Average,1,No,19,Bachelor’s Degree,Single,1,Entry,Large,No,No,Yes,Fair,Medium,0
60485,30,Male,10,Media,5397,Excellent,Low,Average,1,Yes,68,Bachelor’s Degree,Married,0,Entry,Large,No,No,No,Poor,Low,0
13319,47,Male,28,Healthcare,7063,Poor,Very High,Below Average,0,No,62,Associate Degree,Married,0,Senior,Medium,No,No,Yes,Good,Medium,1
65739,58,Female,40,Media,6940,Good,High,High,0,No,49,Bachelor’s Degree,Married,1,Senior,Large,Yes,No,No,Poor,Medium,1
43732,40,Male,17,Education,4733,Poor,High,Below Average,1,No,69,PhD,Married,4,Entry,Small,No,No,No,Excellent,Medium,1
45545,35,Male,17,Healthcare,7625,Good,High,High,0,No,26,Bachelor’s Degree,Married,0,Mid,Large,No,No,No,Good,High,1
72101,31,Female,2,Technology,6640,Fair,Medium,Average,0,No,13,Associate Degree,Divorced,4,Senior,Large,No,No,Yes,Good,High,1
46992,31,Male,8,Technology,7287,Excellent,Medium,High,2,Yes,33,Master’s Degree,Single,0,Entry,Small,No,No,Yes,Excellent,Medium,1
54577,40,Male,5,Healthcare,6993,Fair,Medium,Average,0,Yes,57,High School,Single,0,Entry,Large,No,No,No,Fair,Low,0
23371,49,Female,22,Finance,12041,Excellent,High,Low,0,No,62,PhD,Single,6,Mid,Small,No,No,Yes,Good,Low,1
41178,33,Female,1,Finance,6534,Fair,Low,Average,1,No,21,Master’s Degree,Single,4,Entry,Small,No,No,No,Good,Medium,0
17004,52,Male,15,Healthcare,7529,Good,Medium,Average,0,No,61,Bachelor’s Degree,Married,5,Entry,Large,No,No,No,Good,Very High,1
18068,51,Male,12,Finance,4421,Good,High,Average,1,No,62,Master’s Degree,Single,0,Entry,Medium,Yes,No,No,Good,High,1
65212,58,Male,6,Healthcare,8762,Fair,High,High,0,Yes,72,Bachelor’s Degree,Married,0,Entry,Small,No,No,No,Good,Medium,0
36263,42,Female,7,Technology,8744,Good,Medium,High,1,Yes,41,High School,Single,3,Entry,Small,Yes,No,Yes,Good,Medium,0
23691,26,Male,3,Healthcare,7406,Good,Low,Low,3,No,91,Associate Degree,Married,0,Entry,Medium,Yes,No,No,Poor,Low,0
20242,37,Female,7,Media,6099,Good,High,High,0,No,19,Bachelor’s Degree,Married,0,Senior,Small,Yes,No,No,Excellent,Low,1
52881,55,Male,13,Technology,9626,Good,High,Average,2,No,27,Bachelor’s Degree,Single,0,Senior,Small,No,No,Yes,Good,High,1
32705,46,Female,6,Technology,10298,Fair,High,Average,0,No,47,Bachelor’s Degree,Single,0,Entry,Medium,No,No,No,Fair,Low,0
71450,41,Male,2,Technology,8972,Good,Very High,Average,1,No,76,Master’s Degree,Divorced,1,Mid,Large,No,No,Yes,Excellent,Low,0
29475,58,Female,14,Technology,9501,Fair,Medium,Average,1,Yes,56,Bachelor’s Degree,Single,4,Entry,Large,No,No,No,Poor,Medium,0
34465,40,Female,22,Education,4023,Excellent,Very High,Low,0,No,58,Master’s Degree,Married,4,Entry,Medium,No,Yes,No,Good,Medium,0
42659,46,Female,9,Education,4237,Fair,Medium,Average,0,Yes,36,Bachelor’s Degree,Married,1,Senior,Large,No,No,No,Poor,Medium,0
47934,45,Male,9,Education,6437,Fair,High,High,1,No,53,Associate Degree,Married,4,Mid,Medium,No,No,No,Poor,Medium,0
71441,56,Male,32,Healthcare,6690,Excellent,Medium,High,1,No,35,High School,Married,1,Entry,Small,No,No,No,Fair,Low,1
38110,48,Female,19,Technology,8761,Good,High,Below Average,0,No,75,High School,Married,3,Entry,Medium,Yes,No,No,Poor,Very High,1
70639,47,Male,24,Media,5428,Excellent,Low,Average,0,Yes,93,Associate Degree,Divorced,1,Entry,Medium,No,No,No,Good,Medium,1
8021,26,Female,8,Healthcare,7859,Good,Medium,Average,4,No,44,High School,Married,5,Senior,Small,No,No,No,Good,Low,1
575,44,Male,13,Healthcare,7430,Good,Low,Average,1,Yes,23,Associate Degree,Married,3,Mid,Medium,No,No,No,Good,Low,1
49959,24,Male,2,Education,4573,Fair,High,High,2,Yes,37,Bachelor’s Degree,Married,0,Senior,Small,No,No,No,Good,Medium,1
72401,31,Male,13,Technology,9434,Good,Very High,Below Average,0,No,76,Bachelor’s Degree,Married,0,Mid,Medium,Yes,No,No,Fair,Low,1
24980,45,Female,24,Finance,4583,Excellent,Very High,High,2,Yes,55,Associate Degree,Married,1,Mid,Medium,No,No,No,Good,Medium,0
4856,59,Female,30,Technology,10166,Excellent,High,Average,1,No,32,Associate Degree,Married,1,Entry,Medium,No,No,No,Good,High,0
25774,54,Male,2,Healthcare,8736,Good,Very High,Average,0,Yes,86,Associate Degree,Single,1,Entry,Small,No,No,No,Poor,Low,0
53105,58,Female,39,Healthcare,6929,Fair,High,High,0,No,56,Associate Degree,Married,3,Entry,Large,No,Yes,Yes,Poor,High,0
40919,21,Male,2,Healthcare,10167,Fair,High,High,0,Yes,54,Associate Degree,Married,2,Mid,Medium,No,No,No,Fair,Medium,0
63135,51,Male,16,Healthcare,9063,Poor,Very High,Average,0,No,9,Associate Degree,Single,1,Mid,Small,No,No,Yes,Good,Low,0
65852,45,Female,20,Healthcare,8926,Excellent,High,Average,4,No,89,High School,Single,1,Senior,Small,Yes,No,No,Good,Medium,1
71343,29,Female,11,Finance,9306,Fair,High,Average,0,No,51,Master’s Degree,Single,2,Entry,Large,No,No,No,Excellent,Low,0
55188,20,Male,2,Media,6453,Excellent,Medium,Average,0,No,51,Associate Degree,Married,0,Entry,Small,No,No,No,Good,High,1
43292,50,Male,18,Technology,7359,Good,High,High,1,No,67,Associate Degree,Divorced,2,Entry,Medium,No,No,No,Good,Low,0
24229,28,Male,6,Healthcare,6669,Good,Very High,High,0,No,39,PhD,Single,3,Mid,Large,No,No,No,Poor,Low,0
26101,36,Male,17,Technology,8309,Good,High,Average,2,Yes,24,Associate Degree,Single,0,Mid,Large,No,No,No,Good,Low,1
18495,40,Male,4,Media,6426,Fair,High,Average,0,No,13,Bachelor’s Degree,Married,1,Entry,Medium,No,No,No,Excellent,Medium,0
13011,47,Male,1,Technology,8723,Good,Very High,High,2,No,73,High School,Married,1,Senior,Small,No,No,No,Fair,Low,1
36546,52,Male,19,Education,3625,Fair,High,Average,1,No,54,High School,Married,2,Mid,Small,No,No,No,Good,Low,1
51580,22,Male,2,Finance,6925,Excellent,High,Average,1,No,79,Associate Degree,Married,2,Senior,Medium,Yes,No,No,Fair,Medium,1
41684,42,Male,10,Media,5820,Fair,Very High,High,1,Yes,86,High School,Single,2,Senior,Small,No,No,Yes,Excellent,High,0
19528,39,Male,3,Media,5891,Good,Low,Average,2,Yes,88,High School,Divorced,4,Mid,Small,No,No,No,Good,Medium,0
18487,28,Male,3,Media,6185,Fair,High,Average,0,No,51,Associate Degree,Married,0,Mid,Medium,No,No,Yes,Fair,Low,0
20960,47,Female,13,Healthcare,6467,Good,High,Below Average,2,No,25,Bachelor’s Degree,Divorced,2,Entry,Medium,No,No,No,Poor,High,0
4392,56,Female,6,Finance,6954,Good,High,Average,1,No,65,Bachelor’s Degree,Married,2,Entry,Small,Yes,No,No,Good,Medium,0
6112,51,Female,33,Technology,7647,Good,Low,Average,1,Yes,6,High School,Married,1,Mid,Small,No,No,No,Fair,Low,0
53019,56,Male,38,Healthcare,8883,Poor,Low,Average,0,No,69,Master’s Degree,Divorced,3,Mid,Medium,No,No,No,Fair,Low,0
63588,26,Male,5,Finance,7376,Fair,High,Average,0,No,70,Bachelor’s Degree,Married,1,Senior,Large,No,No,Yes,Poor,Low,0
58518,52,Male,26,Technology,7306,Good,Low,Average,0,Yes,19,High School,Single,3,Entry,Small,Yes,No,No,Fair,Low,1
1127,45,Male,6,Technology,11421,Poor,High,Average,1,No,18,Bachelor’s Degree,Divorced,4,Mid,Small,Yes,No,Yes,Good,Low,1
37737,51,Male,10,Education,3755,Good,High,Average,0,No,61,High School,Divorced,0,Entry,Medium,No,No,No,Good,Medium,0
8386,51,Male,22,Media,5405,Excellent,Medium,Average,1,No,57,Master’s Degree,Married,3,Entry,Small,No,No,No,Fair,Medium,1
45849,59,Male,32,Education,4113,Excellent,High,High,0,Yes,48,Master’s Degree,Single,3,Entry,Medium,No,No,No,Good,Low,0
37320,58,Male,2,Media,6363,Fair,High,Average,2,No,19,High School,Married,2,Mid,Large,No,No,No,Poor,Medium,1
3777,45,Female,10,Media,5475,Good,High,Average,0,No,99,High School,Married,0,Mid,Medium,No,No,No,Good,Medium,1
62193,38,Female,7,Media,6160,Good,High,Average,2,No,53,Bachelor’s Degree,Married,4,Entry,Medium,No,No,No,Good,High,1
50742,29,Male,9,Media,6336,Fair,High,Below Average,1,No,95,Bachelor’s Degree,Married,3,Entry,Medium,No,No,Yes,Poor,Low,0
51389,38,Male,14,Media,5733,Excellent,Very High,Average,1,No,12,Bachelor’s Degree,Married,2,Mid,Medium,No,No,No,Poor,High,1
48390,51,Female,16,Technology,8988,Good,High,Below Average,1,Yes,94,High School,Married,1,Entry,Small,No,No,No,Good,High,1
35432,46,Female,14,Finance,6555,Excellent,High,Average,0,No,4,Master’s Degree,Single,0,Mid,Small,Yes,No,No,Good,Low,1
59888,53,Male,23,Technology,7633,Good,Very High,Average,0,No,44,Bachelor’s Degree,Divorced,2,Mid,Medium,No,No,No,Fair,Very High,0
46731,28,Male,4,Technology,9892,Good,Medium,High,2,No,9,Associate Degree,Single,4,Entry,Medium,No,No,No,Good,Very High,0
5437,34,Male,6,Technology,10220,Good,Low,Below Average,1,Yes,97,Associate Degree,Single,1,Entry,Small,Yes,No,No,Good,Very High,0
38452,33,Male,12,Education,2386,Poor,Medium,Average,1,Yes,73,Bachelor’s Degree,Married,0,Mid,Medium,No,No,No,Good,High,0
13298,52,Male,19,Media,6139,Fair,Very High,Average,2,No,68,Master’s Degree,Divorced,0,Entry,Small,No,No,No,Poor,Low,0
21924,46,Male,17,Technology,6977,Excellent,High,Average,0,No,8,Associate Degree,Married,0,Mid,Medium,No,No,No,Fair,Very High,1
2631,59,Male,40,Healthcare,8328,Good,Very High,High,0,No,46,Associate Degree,Single,0,Entry,Small,No,No,Yes,Poor,Low,0
10997,57,Male,18,Technology,8580,Fair,Medium,Below Average,1,No,84,Bachelor’s Degree,Single,3,Entry,Medium,Yes,No,No,Fair,Medium,1
48313,50,Male,30,Healthcare,8113,Fair,High,High,0,No,19,High School,Single,0,Senior,Medium,No,No,No,Good,Low,1
48664,28,Male,6,Technology,8571,Poor,Medium,Below Average,0,No,35,Associate Degree,Married,2,Entry,Small,No,No,No,Good,High,0
33249,47,Female,16,Technology,9128,Good,High,High,1,No,90,PhD,Divorced,3,Senior,Small,No,No,No,Good,High,1
67005,26,Male,5,Healthcare,8268,Good,Medium,Average,4,No,6,Master’s Degree,Single,4,Mid,Large,No,No,No,Excellent,Medium,1
32739,51,Male,28,Healthcare,7345,Fair,High,Average,1,No,43,High School,Single,0,Entry,Medium,No,No,No,Poor,Low,0
39770,55,Male,8,Finance,12985,Fair,Very High,Below Average,2,No,41,Master’s Degree,Married,4,Mid,Medium,No,No,No,Fair,Low,0
10728,27,Male,9,Finance,9279,Good,High,Average,2,No,69,High School,Married,1,Mid,Medium,No,No,No,Good,Very High,1
61041,41,Male,21,Finance,7838,Good,High,Average,2,Yes,99,Associate Degree,Divorced,3,Entry,Large,No,No,No,Poor,High,0
44027,27,Female,2,Media,5196,Excellent,Very High,Below Average,1,No,75,Bachelor’s Degree,Married,1,Mid,Large,No,No,No,Poor,Low,0
44324,22,Female,2,Healthcare,8184,Excellent,High,Below Average,1,No,98,Bachelor’s Degree,Single,6,Entry,Small,Yes,No,No,Excellent,Medium,0
36084,36,Female,9,Healthcare,9055,Excellent,High,Average,0,No,61,Bachelor’s Degree,Divorced,4,Mid,Large,Yes,No,Yes,Good,Medium,1
10766,34,Male,10,Finance,8721,Excellent,Low,Average,0,No,76,Associate Degree,Married,0,Entry,Large,Yes,No,No,Good,Low,1
69113,38,Male,14,Media,4496,Good,High,Average,3,Yes,76,Bachelor’s Degree,Married,0,Entry,Small,No,No,Yes,Poor,Low,0
23154,42,Female,6,Healthcare,7741,Excellent,High,Average,0,No,4,Master’s Degree,Divorced,3,Entry,Small,No,No,No,Good,High,1
11408,32,Female,6,Media,5879,Good,High,Below Average,0,No,47,PhD,Married,2,Senior,Medium,Yes,No,No,Good,Medium,1
41895,48,Female,15,Technology,6837,Fair,High,Average,0,No,36,Bachelor’s Degree,Single,0,Mid,Medium,No,No,No,Poor,Medium,1
2806,55,Male,33,Education,4831,Good,High,Low,0,Yes,63,High School,Married,5,Senior,Small,No,No,No,Poor,Medium,0
37357,59,Male,30,Education,5520,Poor,Very High,Average,0,No,50,Bachelor’s Degree,Single,0,Mid,Medium,No,No,No,Good,High,0
49333,40,Female,12,Healthcare,8482,Fair,High,Average,1,No,18,Master’s Degree,Divorced,1,Entry,Large,No,No,No,Poor,Medium,0
29892,22,Female,1,Media,6326,Good,High,Average,0,No,2,Bachelor’s Degree,Married,4,Entry,Medium,No,No,No,Good,Medium,1
66517,58,Female,17,Education,4952,Good,High,High,2,No,49,Bachelor’s Degree,Single,1,Mid,Small,No,No,No,Excellent,Medium,0
66253,39,Male,13,Healthcare,8976,Good,High,Below Average,4,No,82,Master’s Degree,Divorced,0,Entry,Medium,No,No,No,Good,Medium,1
17365,36,Male,13,Media,6389,Good,High,Average,1,Yes,87,Bachelor’s Degree,Married,5,Mid,Large,No,No,No,Good,Medium,1
65545,45,Male,15,Healthcare,7730,Poor,Very High,High,0,No,81,Master’s Degree,Married,2,Entry,Medium,Yes,No,No,Poor,Medium,1
26339,32,Female,13,Education,3951,Poor,High,Average,0,No,56,PhD,Single,2,Mid,Medium,No,No,No,Good,Low,0
47491,33,Female,11,Technology,9415,Fair,High,High,2,Yes,97,Bachelor’s Degree,Single,2,Senior,Large,No,No,No,Fair,Medium,1
69251,43,Male,20,Technology,10994,Good,Medium,Average,2,No,7,PhD,Single,3,Entry,Medium,No,No,No,Fair,Low,1
41371,32,Female,11,Technology,9305,Fair,High,Below Average,0,Yes,35,Bachelor’s Degree,Single,3,Entry,Large,No,No,No,Excellent,Low,0
28119,37,Male,12,Finance,11806,Poor,High,Average,2,No,50,Associate Degree,Married,4,Entry,Small,No,No,No,Good,Low,1
46811,30,Male,7,Technology,6279,Good,High,Average,2,Yes,90,Associate Degree,Single,2,Entry,Medium,No,No,No,Poor,Medium,0
33046,40,Male,11,Technology,10512,Fair,Very High,High,0,No,74,Associate Degree,Married,2,Senior,Large,No,No,No,Good,High,1
37344,55,Male,5,Media,5788,Fair,Medium,Average,0,No,63,Master’s Degree,Divorced,1,Senior,Medium,No,No,No,Poor,High,1
32903,25,Female,7,Education,4811,Good,High,Average,0,No,79,Associate Degree,Divorced,2,Mid,Small,No,No,Yes,Poor,High,0
18339,50,Male,14,Technology,9495,Good,Medium,Average,2,Yes,96,Associate Degree,Single,0,Entry,Medium,Yes,No,No,Good,Medium,0
53500,58,Male,4,Technology,8151,Good,High,Average,0,No,15,High School,Married,1,Mid,Small,Yes,No,No,Good,Low,1
34214,55,Male,2,Education,3553,Fair,Very High,Average,0,Yes,59,Bachelor’s Degree,Single,2,Entry,Small,No,No,No,Good,High,0
44909,44,Male,1,Education,3288,Excellent,Medium,Average,0,No,10,PhD,Married,4,Mid,Medium,No,No,No,Poor,Low,1
34195,59,Male,16,Healthcare,8392,Fair,Medium,Average,1,No,17,Master’s Degree,Married,0,Mid,Medium,No,No,No,Good,Very High,1
51855,33,Female,3,Education,3815,Excellent,Low,High,1,No,6,Bachelor’s Degree,Married,0,Senior,Small,Yes,No,No,Good,Low,1
54830,43,Female,23,Finance,6952,Poor,Very High,High,4,Yes,24,High School,Single,0,Mid,Medium,Yes,No,Yes,Fair,Very High,1
41286,40,Male,18,Media,6369,Good,Medium,Average,1,No,98,Associate Degree,Married,2,Mid,Medium,Yes,No,No,Good,Low,1
21565,22,Male,1,Healthcare,8756,Poor,High,High,1,Yes,55,Bachelor’s Degree,Single,4,Entry,Medium,No,No,No,Good,Low,0
51355,58,Male,9,Technology,5532,Good,High,Average,1,Yes,4,Bachelor’s Degree,Divorced,1,Mid,Medium,Yes,No,No,Good,Medium,1
38941,55,Male,34,Technology,8673,Fair,High,Average,2,No,97,Bachelor’s Degree,Single,0,Mid,Large,No,No,No,Poor,Low,0
69899,38,Female,14,Education,3891,Excellent,Low,Average,2,Yes,82,Bachelor’s Degree,Married,3,Mid,Medium,Yes,No,No,Good,Low,1
4017,23,Male,2,Healthcare,8081,Excellent,Medium,High,0,No,81,Associate Degree,Married,0,Senior,Medium,No,No,No,Good,High,1
17833,29,Male,7,Finance,6932,Fair,Medium,High,3,No,44,High School,Married,1,Senior,Medium,Yes,No,No,Good,High,1
16312,57,Female,14,Education,5795,Good,High,High,3,No,3,Associate Degree,Married,6,Senior,Medium,No,No,Yes,Fair,Medium,1
29564,42,Male,6,Technology,8405,Good,High,Average,1,No,55,Master’s Degree,Single,1,Mid,Medium,No,No,No,Poor,High,0
29598,37,Female,9,Technology,10730,Good,High,Average,1,No,21,Master’s Degree,Married,0,Mid,Small,No,No,No,Poor,Low,1
3232,28,Male,7,Finance,7655,Fair,High,Average,3,No,30,Associate Degree,Single,2,Mid,Small,No,Yes,No,Excellent,Medium,1
35125,48,Male,10,Finance,7049,Fair,Medium,High,1,No,38,Master’s Degree,Single,0,Senior,Small,No,No,No,Fair,High,1
57726,40,Female,8,Education,3752,Good,Medium,Average,0,Yes,78,Associate Degree,Divorced,0,Mid,Small,No,No,No,Good,Low,0
1504,46,Male,12,Finance,7931,Fair,High,Average,0,Yes,4,Bachelor’s Degree,Married,3,Mid,Medium,No,No,No,Excellent,Medium,1
25430,47,Male,1,Technology,9605,Good,High,Average,0,No,69,High School,Single,0,Senior,Large,No,No,No,Fair,High,0
30097,38,Male,2,Education,4098,Good,Medium,Average,2,No,77,High School,Divorced,0,Mid,Medium,No,No,No,Excellent,Medium,0
18057,38,Male,14,Education,6299,Good,Medium,Average,2,No,53,Bachelor’s Degree,Single,0,Senior,Medium,No,No,No,Good,Low,1
50515,59,Male,15,Education,5154,Excellent,High,Average,0,No,49,PhD,Divorced,0,Senior,Medium,No,No,Yes,Poor,Very High,1
25446,39,Male,11,Education,5802,Fair,Very High,Average,0,Yes,17,Bachelor’s Degree,Married,1,Entry,Medium,No,Yes,Yes,Fair,Medium,1
62366,34,Male,2,Finance,11093,Good,Low,High,0,Yes,17,Associate Degree,Married,1,Senior,Medium,No,No,No,Good,Low,0
29186,24,Female,1,Healthcare,7256,Poor,High,Average,2,No,11,High School,Married,0,Mid,Small,No,No,No,Fair,High,0
40241,31,Female,3,Technology,9216,Good,High,Average,0,Yes,98,Master’s Degree,Married,4,Entry,Medium,No,No,No,Fair,High,0
31345,44,Female,4,Finance,11515,Good,Low,Average,0,No,53,Associate Degree,Married,0,Senior,Large,No,No,No,Good,Low,1
1619,37,Male,8,Technology,7512,Fair,High,Average,0,No,50,Bachelor’s Degree,Single,0,Senior,Small,No,No,No,Good,Low,1
44300,47,Female,4,Technology,8766,Excellent,Medium,Average,1,No,10,High School,Single,0,Senior,Large,No,No,Yes,Good,Low,1
54879,42,Male,11,Media,5415,Good,Medium,Average,0,No,9,High School,Married,3,Entry,Large,Yes,No,No,Fair,Medium,1
45188,48,Female,18,Technology,8762,Fair,Very High,Average,0,No,54,Bachelor’s Degree,Single,4,Entry,Small,No,No,No,Good,High,0
22927,49,Female,29,Education,4453,Excellent,Medium,Below Average,0,Yes,87,Associate Degree,Married,4,Mid,Large,No,No,No,Fair,High,1
65606,39,Female,6,Technology,9452,Good,High,Average,1,Yes,65,Master’s Degree,Married,1,Entry,Medium,No,No,Yes,Good,High,1
29104,38,Male,15,Finance,6841,Fair,Low,Average,0,No,82,Associate Degree,Married,2,Mid,Large,No,No,No,Good,High,0
